# Galaxy: NGC6503
# Ref: SPARC (Lelli et al. 2016)
# Distance: 5.27 Mpc
# Inclination: 74.5 deg
# Units: Radius (kpc), V_obs (km/s), V_err (km/s), V_gas (km/s), V_disk (km/s), V_bulge (km/s)
# R (kpc)   V_obs      V_err     V_gas     V_disk    V_bulge
0.50        55.10      5.00      5.20      50.30     0.00
1.00        90.50      4.50      10.10     85.60     0.00
1.50        102.30     4.00      12.80     95.40     0.00
2.00        110.20     3.50      15.30     100.20    0.00
2.50        113.50     3.00      17.90     103.50    0.00
3.00        115.10     2.80      20.40     105.10    0.00
3.50        115.80     2.50      21.50     102.80    0.00
4.00        116.20     2.40      22.30     100.40    0.00
4.50        116.30     2.30      23.10     97.50     0.00
5.00        116.20     2.20      24.20     95.10     0.00
6.00        116.10     2.10      25.10     90.20     0.00
7.00        116.00     2.00      26.30     85.40     0.00
8.00        115.90     1.90      27.50     80.30     0.00
9.00        115.80     1.80      28.10     75.20     0.00
10.00       116.00     1.80      28.50     70.10     0.00
12.00       116.10     1.90      29.20     60.50     0.00
14.00       115.50     2.00      29.80     55.20     0.00
16.00       115.10     2.20      30.10     50.10     0.00
18.00       114.80     2.50      30.30     45.30     0.00
20.00       114.50     3.00      30.50     40.20     0.00
