step,time,omega,kinetic,potential,entropy,gradient_norm,max_density,min_density,is_stable,gradient_energy,entropy_interaction,kinetic_energy,max_velocity
0,0.001,-0.0009608148648670846,0.0,3.9062500000619155e-05,0.0,0.0,1.05,0.95,True,2.007601322965476e-07,-0.0010000781250000005,20.480000000330023,0.8000000000016912
100,0.10100000000000008,-0.10159402410598597,0.0,5.065092094654594e-05,0.0,0.0,1.05,0.95,True,2.0256311678474043e-07,-0.10164487759004925,20.675990823373766,0.8782605508072372
200,0.20100000000000015,-0.20573778781802754,0.0,0.0002119241395226404,0.0,0.0,1.05,0.95,True,2.2918242459896794e-07,-0.20594994113997475,23.40357108371358,1.1022608353102576
300,0.3010000000000002,-0.31643032033231167,0.0,0.0008638529676207698,0.0,0.0,1.05,0.95,True,3.3710034412689803e-07,-0.31729451040027656,34.42960826181029,1.4602464202819263
400,0.4010000000000003,-0.4363965762198525,0.0,0.002510297983806295,0.0,0.0,1.071461755612884,0.95,True,6.097460029420728e-07,-0.4389074839496619,62.27609674147854,1.9428596981133204
500,0.5010000000000003,-0.5682042727644239,0.0,0.005785932738594053,0.0,0.0,1.108941884798824,0.95,True,1.1521619426789214e-06,-0.5739913576649606,117.677722825785,2.542822311409143
600,0.6010000000000004,-0.7143858671988543,0.0,0.011439132888257028,0.0,0.0,1.1534167715306674,0.95,True,2.0881560896887467e-06,-0.7258270882432011,213.29252309838927,3.2546676536526498
700,0.7010000000000005,-0.877537107577528,0.0,0.020325857822612696,0.0,0.0,1.2046572832664015,0.95,True,3.5592775268588134e-06,-0.8978665246776676,363.59844758189666,4.07451612496682
800,0.8010000000000006,-1.0603999960282395,0.0,0.03341177446695938,0.0,0.0,1.2624929330037387,0.95,True,5.725158215954825e-06,-1.0938174956534144,584.9293209046991,4.999886927057151
900,0.9010000000000007,-1.2659360129208093,0.0,0.05178075862387881,0.0,0.0,1.326846320164146,0.95,True,8.764910265217419e-06,-1.3177255364549532,895.6186712183076,6.0295411219433035
1000,1.0010000000000006,-1.497394034390478,0.0,0.07664855329523532,0.0,0.0,1.3977094674821575,0.95,True,1.2879375485437725e-05,-1.5740554670611981,1316.2307879312143,7.163351479712951
1100,1.1009999999999895,-1.7583763779121147,0.0,0.1093808351695012,0.0,0.0,1.475137207638927,0.95,True,1.8294102393720183e-05,-1.8677755071840092,1869.866346820547,8.402195322221644
1200,1.2009999999999785,-2.052905718984908,0.0,0.15151529000978264,0.0,0.0,1.5592416968905634,0.95,True,2.5262983871854813e-05,-2.2044462719785622,2582.5358524343596,9.747867150248876
1300,1.3009999999999675,-2.385495155720175,0.0,0.20478756136774934,0.0,0.0,1.6501880210166644,0.95,True,3.4072532424081896e-05,-2.5903167896203487,3483.5986072573287,11.203008336266628
1400,1.4009999999999565,-2.761223399348916,0.0,0.27116114127696483,0.0,0.0,1.7481907241618333,0.95,True,4.50468038061187e-05,-3.0324295874296876,4606.268371253507,12.771051586589333
1500,1.5009999999999455,-3.1858168961029305,0.0,0.3528614356059184,0.0,0.0,1.8535111397642035,0.95,True,5.8553006920899394e-05,-3.53873688471577,5988.189649797266,14.456178236227256
