step,time,omega,kinetic,potential,entropy,gradient_norm,max_density,min_density,is_stable,gradient_energy,entropy_interaction,order_parameter,domain_count
0,0.01,-0.5001533935617499,0.0,-0.5001561944299816,0.0,0.0,0.008434236467351645,-0.008673764099309898,True,2.80086823169851e-06,0.0,0.0023762540834594828,507
10,0.10999999999999999,-0.5268301144378673,0.0,-0.5416768434692047,0.0,0.0,0.7004156252844874,-0.6474891173433889,True,0.014846729031337519,0.0,0.23701862819976066,359
20,0.21000000000000005,-0.6643093387215049,0.0,-0.7328581046127982,0.0,0.0,0.9898195224989782,-0.957994634302954,True,0.06854876589129333,0.0,0.6236071711588351,304
30,0.3100000000000001,-0.7353401177802223,0.0,-0.7940639184015263,0.0,0.0,0.9958380147039629,-1.0091237807591518,True,0.058723800621304015,0.0,0.7122424351686174,250
40,0.4100000000000002,-0.7711468544815443,0.0,-0.8270094318179668,0.0,0.0,1.1931365403870817,-1.2657400886194492,True,0.055862577336422664,0.0,0.7514167813312922,209
50,0.5100000000000002,-0.7749236261858551,0.0,-0.8311143238640598,0.0,0.0,1.2358953329888438,-1.2353888961475006,True,0.056190697678204754,0.0,0.7530147625086059,179
60,0.6100000000000003,-0.7762599489533891,0.0,-0.8312515685785402,0.0,0.0,1.2427987696309284,-1.2386712086555374,True,0.05499161962515117,0.0,0.7531376384466599,159
70,0.7100000000000004,-0.776239728015968,0.0,-0.8312988416095256,0.0,0.0,1.2503617052045923,-1.2556477473932286,True,0.055059113593557654,0.0,0.7530429254740623,147
80,0.8100000000000005,-0.7768259170395599,0.0,-0.8314992312163971,0.0,0.0,1.2788084710585907,-1.2806071460559807,True,0.054673314176837136,0.0,0.7546672624473347,140
90,0.9100000000000006,-0.7770919924901272,0.0,-0.8321589671713794,0.0,0.0,1.3123099078911071,-1.3136590040294007,True,0.05506697468125207,0.0,0.7551242814360959,136
100,1.0100000000000007,-0.7762458134214469,0.0,-0.8312421398858945,0.0,0.0,1.3212659360054246,-1.3165350756926906,True,0.054996326464447506,0.0,0.7543795767620506,132
110,1.1100000000000008,-0.7747272404025858,0.0,-0.8291097138613652,0.0,0.0,1.26358250288901,-1.248429823391398,True,0.05438247345877955,0.0,0.7540643095152233,132
120,1.2100000000000009,-0.7785685010543564,0.0,-0.8316382744416442,0.0,0.0,1.2560886878149142,-1.259204952996982,True,0.05306977338728776,0.0,0.7572064287124074,131
130,1.310000000000001,-0.7795130445458045,0.0,-0.8315162150686062,0.0,0.0,1.3095598735902856,-1.311648324021233,True,0.052003170522801616,0.0,0.761905073314728,130
140,1.410000000000001,-0.7723905537496932,0.0,-0.8326559808412192,0.0,0.0,1.3154387764641977,-1.3262203076545749,True,0.06026542709152586,0.0,0.7559933461617154,130
150,1.5100000000000011,-0.7582184194110201,0.0,-0.8150932341198946,0.0,0.0,1.2207610205703052,-1.211716307108699,True,0.05687481470887458,0.0,0.7357825787976676,130
160,1.6100000000000012,-0.7765214395032333,0.0,-0.8219721461230358,0.0,0.0,1.2253192655468141,-1.2039926199246729,True,0.045450706619802494,0.0,0.7572587511288777,128
170,1.7100000000000013,-0.7966531177134877,0.0,-0.8491976412894746,0.0,0.0,1.2937268109413496,-1.2973419963162953,True,0.05254452357598695,0.0,0.781248475190365,128
180,1.8100000000000014,-0.7689974912252721,0.0,-0.8377930514811187,0.0,0.0,1.3173381076630923,-1.29864501514224,True,0.06879556025584661,0.0,0.7501698359166058,130
190,1.9100000000000015,-0.7508652998757193,0.0,-0.7963956633312683,0.0,0.0,1.1207643732534565,-1.1252022455803288,True,0.04553036345554905,0.0,0.7229007742804512,128
200,2.010000000000001,-0.7978309539694259,0.0,-0.8432538293641462,0.0,0.0,1.1967118243067136,-1.2115907855442472,True,0.0454228753947202,0.0,0.7829607954436768,128
