step,time,omega,kinetic,potential,entropy,gradient_norm,max_density,min_density,is_stable,gradient_energy,entropy_interaction,S_total,T_A,T_B,E_A,E_B
0,1.0,94.98824132153842,0.0,94.98824132153842,0.0,0.0,20.47593034262955,0.19931118704250333,True,0.0,0.0,206.98143331101775,20.47593034262955,0.19931118704250333,999,1
100,101.0,67.25769133703187,0.0,67.25769133703187,0.0,0.0,17.395209672932413,1.4773522061443642,True,0.0,0.0,404.185532096115,17.395209672932413,1.4773522061443642,845,155
200,201.0,51.025038037103485,0.0,51.025038037103485,0.0,0.0,15.234530363082023,2.215852577786382,True,0.0,0.0,456.79925600526394,15.234530363082023,2.215852577786382,737,263
300,301.0,40.67510769312561,0.0,40.67510769312561,0.0,0.0,13.633888327347144,2.756501211108054,True,0.0,0.0,483.55331568377096,13.633888327347144,2.756501211108054,657,343
400,401.0,33.9540913428941,0.0,33.9540913428941,0.0,0.0,12.453309057162416,3.1536195143752157,True,0.0,0.0,499.02223790806056,12.453309057162416,3.1536195143752157,598,402
500,501.0,30.43252026466743,0.0,30.43252026466743,0.0,0.0,11.7729224612998,3.382062698900251,True,0.0,0.0,506.62322224354466,11.7729224612998,3.382062698900251,564,436
600,601.0,26.07714050017525,0.0,26.07714050017525,0.0,0.0,10.852322238416347,3.6907821374291365,True,0.0,0.0,515.5703800857814,10.852322238416347,3.6907821374291365,518,482
700,701.0,23.078406952137243,0.0,23.078406952137243,0.0,0.0,10.151792596331834,3.925460661549696,True,0.0,0.0,521.4302254852196,10.151792596331834,3.925460661549696,483,517
800,801.0,22.35132259158482,0.0,22.35132259158482,0.0,0.0,9.97164437021689,3.985780913043494,True,0.0,0.0,522.8110092199222,9.97164437021689,3.985780913043494,474,526
900,901.0,21.95516781585473,0.0,21.95516781585473,0.0,0.0,9.87155968389779,4.019288001906784,True,0.0,0.0,523.5562697842938,9.87155968389779,4.019288001906784,469,531
1000,1001.0,21.876603800519955,0.0,21.876603800519955,0.0,0.0,9.851542540077842,4.025989071902295,True,0.0,0.0,523.7034589345944,9.851542540077842,4.025989071902295,468,532
1100,1101.0,20.724821110361514,0.0,20.724821110361514,0.0,0.0,9.551276756513989,4.1264916879706695,True,0.0,0.0,525.8372147057703,9.551276756513989,4.1264916879706695,453,547
1200,1201.0,20.204440587656904,0.0,20.204440587656904,0.0,0.0,9.4111469179089,4.17338460889619,True,0.0,0.0,526.7856889460363,9.4111469179089,4.17338460889619,446,554
