# S&P 500 Representative Data: Dot Com Bubble (1995-2002)
# Source Reference: Shiller data / Yahoo Finance (Representative)
# Columns: Date, SP500_Price, Earnings, Volume_Billions
# Logic: Price skyrockets, Earnings lag, Volume spikes (High C, Low V)
Date,SP500_Price,Earnings,Volume_Billions
1995-01-01,459.11,32.00,0.50
1996-01-01,617.70,38.73,0.70
1997-01-01,766.22,39.72,0.90
1998-01-01,970.43,39.72,1.20
1999-01-01,1229.23,37.86,1.80
2000-01-01,1469.25,41.00,2.50
2000-03-01,1527.46,42.00,2.80
2000-09-01,1436.51,43.00,2.00
2001-01-01,1320.28,30.00,1.90
2001-09-01,1040.94,25.00,1.50
2002-01-01,1130.20,28.00,1.60
2002-07-01,911.62,32.00,1.80
2002-12-01,879.82,40.00,1.40
