run_id,case_id,model,grid,status,fail_reasons,Omega0,OmegaT,Omega0_density,OmegaT_density,max_energy_increase,dt_min,dt_max,backtracks_total,config_hash,code_hash,notes
20251217-101732_4f8c366b2b2c,param_M_M0.03_seed0,C_only,64,PASS,,127.02200082712432,4.302930030249835e-05,127.02200082712432,4.302930030249835e-05,0.0,0.0005,0.0005,0,4f8c366b2b2c,uet_harness_v0.1,
20251217-101734_8690d42735ba,param_M_M0.03_seed1,C_only,64,PASS,,128.99088335896107,9.393386004239116e-05,128.99088335896107,9.393386004239116e-05,0.0,0.0005,0.0005,0,8690d42735ba,uet_harness_v0.1,
20251217-101735_bee24e5f665c,param_M_M0.03_seed2,C_only,64,PASS,,128.33032255605872,0.00011029813347572496,128.33032255605872,0.00011029813347572496,0.0,0.0005,0.0005,0,bee24e5f665c,uet_harness_v0.1,
20251217-101736_df4a7cd24328,param_M_M0.03_seed3,C_only,64,PASS,,128.16531564914743,8.93792479985369e-05,128.16531564914743,8.93792479985369e-05,0.0,0.0005,0.0005,0,df4a7cd24328,uet_harness_v0.1,
20251217-101737_7014f12be9a8,param_M_M0.03_seed4,C_only,64,PASS,,128.16146808357848,9.172107798165795e-05,128.16146808357848,9.172107798165795e-05,0.0,0.0005,0.0005,0,7014f12be9a8,uet_harness_v0.1,
20251217-101738_fd18b94f2d08,param_M_M0.03_seed5,C_only,64,PASS,,126.00640972833084,7.097209396291022e-05,126.00640972833084,7.097209396291022e-05,0.0,0.0005,0.0005,0,fd18b94f2d08,uet_harness_v0.1,
20251217-101739_99c4147e7a7a,param_M_M0.03_seed6,C_only,64,PASS,,129.53063328104585,3.492064631079078e-05,129.53063328104585,3.492064631079078e-05,0.0,0.0005,0.0005,0,99c4147e7a7a,uet_harness_v0.1,
20251217-101740_a9134761567f,param_M_M0.03_seed7,C_only,64,PASS,,123.95726336654776,8.500616177176796e-05,123.95726336654776,8.500616177176796e-05,0.0,0.0005,0.0005,0,a9134761567f,uet_harness_v0.1,
20251217-101742_97a69bbb5f1b,param_M_M0.03_seed8,C_only,64,PASS,,135.68414006786318,0.0001054191412157468,135.68414006786318,0.0001054191412157468,0.0,0.0005,0.0005,0,97a69bbb5f1b,uet_harness_v0.1,
20251217-101743_8452ab9a0ba3,param_M_M0.03_seed9,C_only,64,PASS,,131.768535161193,7.471672970967111e-05,131.768535161193,7.471672970967111e-05,0.0,0.0005,0.0005,0,8452ab9a0ba3,uet_harness_v0.1,
