run_id,case_id,model,grid,status,fail_reasons,Omega0,OmegaT,Omega0_density,OmegaT_density,max_energy_increase,dt_min,dt_max,backtracks_total,config_hash,code_hash,notes
20251217-101635_73020edf7bc3,param_kappa_k0.03_seed0,C_only,64,PASS,,3.8155579014232406,1.012077800253151e-06,3.8155579014232406,1.012077800253151e-06,0.0,0.0009999999999995568,0.001,0,73020edf7bc3,uet_harness_v0.1,
20251217-101635_aa6ccb60b336,param_kappa_k0.03_seed1,C_only,64,PASS,,3.8746803842693684,1.5760928752643456e-06,3.8746803842693684,1.5760928752643456e-06,0.0,0.0009999999999995568,0.001,0,aa6ccb60b336,uet_harness_v0.1,
20251217-101636_86f2bca8a416,param_kappa_k0.03_seed2,C_only,64,PASS,,3.854849508813107,1.9835921717431948e-06,3.854849508813107,1.9835921717431948e-06,0.0,0.0009999999999995568,0.001,0,86f2bca8a416,uet_harness_v0.1,
20251217-101637_941bac59915d,param_kappa_k0.03_seed3,C_only,64,PASS,,3.8499034503217273,1.5105882551168718e-06,3.8499034503217273,1.5105882551168718e-06,0.0,0.0009999999999995568,0.001,0,941bac59915d,uet_harness_v0.1,
20251217-101637_d9c1f9a50fd5,param_kappa_k0.03_seed4,C_only,64,PASS,,3.849727566681107,1.3488177270684326e-06,3.849727566681107,1.3488177270684326e-06,0.0,0.0009999999999995568,0.001,0,d9c1f9a50fd5,uet_harness_v0.1,
20251217-101638_cc6129564f88,param_kappa_k0.03_seed5,C_only,64,PASS,,3.7851010140858166,2.2785267511124445e-06,3.7851010140858166,2.2785267511124445e-06,0.0,0.0009999999999995568,0.001,0,cc6129564f88,uet_harness_v0.1,
20251217-101639_08a697ba4007,param_kappa_k0.03_seed6,C_only,64,PASS,,3.8908775832912976,1.2949900643461502e-06,3.8908775832912976,1.2949900643461502e-06,0.0,0.0009999999999995568,0.001,0,08a697ba4007,uet_harness_v0.1,
20251217-101639_bb52a97ab1d9,param_kappa_k0.03_seed7,C_only,64,PASS,,3.723542690511512,1.6396123236243588e-06,3.723542690511512,1.6396123236243588e-06,0.0,0.0009999999999995568,0.001,0,bb52a97ab1d9,uet_harness_v0.1,
20251217-101640_3b881321f21d,param_kappa_k0.03_seed8,C_only,64,PASS,,4.075640281838561,1.6195472648474402e-06,4.075640281838561,1.6195472648474402e-06,0.0,0.0009999999999995568,0.001,0,3b881321f21d,uet_harness_v0.1,
20251217-101641_26ebb29e4a45,param_kappa_k0.03_seed9,C_only,64,PASS,,3.9581319816393985,1.3667239510190141e-06,3.9581319816393985,1.3667239510190141e-06,0.0,0.0009999999999995568,0.001,0,26ebb29e4a45,uet_harness_v0.1,
20251217-101641_d1bfe282dba2,param_kappa_k0.1_seed0,C_only,64,PASS,,12.706744504308885,4.2428933538601713e-07,12.706744504308885,4.2428933538601713e-07,0.0,0.0009999999999995568,0.001,0,d1bfe282dba2,uet_harness_v0.1,
20251217-101642_f96e94117aad,param_kappa_k0.1_seed1,C_only,64,PASS,,12.903684722649185,1.6847711632352826e-07,12.903684722649185,1.6847711632352826e-07,0.0,0.0009999999999995568,0.001,0,f96e94117aad,uet_harness_v0.1,
20251217-101642_0562e3c7324e,param_kappa_k0.1_seed2,C_only,64,PASS,,12.837615605006091,3.4215744616439865e-07,12.837615605006091,3.4215744616439865e-07,0.0,0.0009999999999995568,0.001,0,0562e3c7324e,uet_harness_v0.1,
20251217-101643_bc625eec78f9,param_kappa_k0.1_seed3,C_only,64,PASS,,12.821118763639047,1.986266616690691e-07,12.821118763639047,1.986266616690691e-07,0.0,0.0009999999999995568,0.001,0,bc625eec78f9,uet_harness_v0.1,
20251217-101644_e3b924f39905,param_kappa_k0.1_seed4,C_only,64,PASS,,12.820677913261331,9.172568724862687e-08,12.820677913261331,9.172568724862687e-08,0.0,0.0009999999999995568,0.001,0,e3b924f39905,uet_harness_v0.1,
20251217-101644_1950d056535b,param_kappa_k0.1_seed5,C_only,64,PASS,,12.605195457381852,1.3788109900565205e-06,12.605195457381852,1.3788109900565205e-06,0.0,0.0009999999999995568,0.001,0,1950d056535b,uet_harness_v0.1,
20251217-101645_3bf003e05bb6,param_kappa_k0.1_seed6,C_only,64,PASS,,12.95766407694369,8.550660524803755e-07,12.95766407694369,8.550660524803755e-07,0.0,0.0009999999999995568,0.001,0,3bf003e05bb6,uet_harness_v0.1,
20251217-101645_d1effbbeeb14,param_kappa_k0.1_seed7,C_only,64,PASS,,12.400202945483203,4.200867508732481e-07,12.400202945483203,4.200867508732481e-07,0.0,0.0009999999999995568,0.001,0,d1effbbeeb14,uet_harness_v0.1,
20251217-101646_3962f95033de,param_kappa_k0.1_seed8,C_only,64,PASS,,13.573160884953742,9.141469332393306e-08,13.573160884953742,9.141469332393306e-08,0.0,0.0009999999999995568,0.001,0,3962f95033de,uet_harness_v0.1,
20251217-101647_a95f4c50866c,param_kappa_k0.1_seed9,C_only,64,PASS,,13.181563138926773,2.518053772829166e-07,13.181563138926773,2.518053772829166e-07,0.0,0.0009999999999995568,0.001,0,a95f4c50866c,uet_harness_v0.1,
20251217-101647_790d4c39e56c,param_kappa_k0.3_seed0,C_only,64,PASS,,38.110134798267865,3.915307907215687e-07,38.110134798267865,3.915307907215687e-07,0.0,0.0009999999999995568,0.001,0,790d4c39e56c,uet_harness_v0.1,
20251217-101648_c6c6ebe350e9,param_kappa_k0.3_seed1,C_only,64,PASS,,38.70083997516294,5.834315117017892e-08,38.70083997516294,5.834315117017892e-08,0.0,0.0009999999999995568,0.001,0,c6c6ebe350e9,uet_harness_v0.1,
20251217-101648_ff927fdad91d,param_kappa_k0.3_seed2,C_only,64,PASS,,38.502661594128895,2.1611973373402813e-07,38.502661594128895,2.1611973373402813e-07,0.0,0.0009999999999995568,0.001,0,ff927fdad91d,uet_harness_v0.1,
