step,time,omega,kinetic,potential,entropy,gradient_norm,max_density,min_density,is_stable,gradient_energy,entropy_interaction,max_avalanche,avalanche_count,mean_size,power_law_exponent,price,volatility
0,0.01,0.05,0.0,0.0,0.0,0.0,1.0,0.0,True,0.05,0.0,0,0,0.0,0.0,100.0,0.0
100,1.0100000000000007,7.3375,0.0,0.0,0.0,0.0,3.0,0.0,True,7.3375,0.0,0,0,0.0,0.0,100.0,0.0
200,2.010000000000001,13.55,0.0,0.0,0.0,0.0,3.0,0.0,True,13.55,0.0,0,0,0.0,0.0,100.0,0.0
300,3.00999999999998,18.700000000000003,0.0,0.0,0.0,0.0,3.0,0.0,True,18.700000000000003,0.0,1,1,1.0,0.0,99.08529294692684,1.0
400,4.009999999999959,22.0375,0.0,0.0,0.0,0.0,3.0,0.0,True,22.0375,0.0,2,2,1.5,0.0,97.1018324301738,1.4142135623730951
500,5.009999999999938,27.300000000000004,0.0,0.0,0.0,0.0,3.0,0.0,True,27.300000000000004,0.0,2,3,1.3333333333333333,0.0,96.17704962786213,1.0
600,6.009999999999916,30.900000000000006,0.0,0.0,0.0,0.0,3.0,0.0,True,30.900000000000006,0.0,2,4,1.25,0.0,94.9801365435539,1.0
700,7.009999999999895,37.425,0.0,0.0,0.0,0.0,3.0,0.0,True,37.425,0.0,2,7,1.1428571428571428,0.0,95.92000371253441,1.0
800,8.009999999999874,41.2,0.0,0.0,0.0,0.0,3.0,0.0,True,41.2,0.0,2,10,1.1,0.0,95.10328702540029,1.0
900,9.009999999999852,46.1375,0.0,0.0,0.0,0.0,3.0,0.0,True,46.1375,0.0,2,15,1.1333333333333333,0.0,93.63173995490534,1.0
1000,10.009999999999831,48.5375,0.0,0.0,0.0,0.0,3.0,0.0,True,48.5375,0.0,3,25,1.24,0.0,92.90105125042086,1.4142135623730951
