step,time,omega,kinetic,potential,entropy,gradient_norm,max_density,min_density,is_stable,gradient_energy,entropy_interaction,max_avalanche,avalanche_count,mean_size,power_law_exponent
0,1.0,0.8762500000000002,0.0,0.0012500000000000002,0.0,0.0,1.0,0.0,True,0.8750000000000002,0.0,0,0,0.0,0.0
100,101.0,69.16625000000002,0.0,0.16625000000000004,0.0,0.0,3.0,0.0,True,69.00000000000001,0.0,0,0,0.0,0.0
200,201.0,141.00250000000003,0.0,0.37750000000000006,0.0,0.0,3.0,0.0,True,140.62500000000003,0.0,1,1,1.0,0.0
300,301.0,183.86750000000004,0.0,0.6175000000000002,0.0,0.0,3.0,0.0,True,183.25000000000003,0.0,1,2,1.0,0.0
400,401.0,223.41625000000005,0.0,0.9162500000000002,0.0,0.0,3.0,0.0,True,222.50000000000006,0.0,1,7,1.0,0.0
500,501.0,251.09000000000006,0.0,1.2150000000000003,0.0,0.0,3.0,0.0,True,249.87500000000006,0.0,7,18,1.3888888888888888,0.0
600,601.0,282.3475000000001,0.0,1.5975000000000004,0.0,0.0,3.0,0.0,True,280.75000000000006,0.0,7,30,1.4333333333333333,0.0
700,701.0,257.17500000000007,0.0,1.9250000000000003,0.0,0.0,3.0,0.0,True,255.25000000000006,0.0,34,54,2.9814814814814814,0.0
800,801.0,263.82000000000005,0.0,2.3200000000000003,0.0,0.0,3.0,0.0,True,261.50000000000006,0.0,69,90,5.466666666666667,0.0
900,901.0,244.57625000000004,0.0,2.5762500000000004,0.0,0.0,3.0,0.0,True,242.00000000000006,0.0,108,127,11.637795275590552,0.0
