step,time,omega,kinetic,potential,entropy,gradient_norm,max_density,min_density,is_stable,gradient_energy,entropy_interaction,max_avalanche,avalanche_count,mean_size,power_law_exponent,price,volatility,value_delta
0,0.01,0.08777832031249999,0.0,0.0,0.0,0.0,1.0,0.0,True,0.0875,0.00027832031250000003,0,0,0.0,0.0,100.0,0.0,0.0
1,0.02,0.17552880859375,0.0,0.0,0.0,0.0,1.0,0.0,True,0.175,0.00052880859375,0,0,0.0,0.0,100.00000009277343,0.0,0.0
2,0.03,0.22575355224609375,0.0,0.0,0.0,0.0,1.0,0.0,True,0.225,0.0007535522460937499,0,0,0.0,0.0,100.00000026904297,0.0,0.0
3,0.04,0.2759544995117188,0.0,0.0,0.0,0.0,1.0,0.0,True,0.275,0.0009544995117187498,0,0,0.0,0.0,100.00000052022705,0.0,0.0
4,0.05,0.326133468170166,0.0,0.0,0.0,0.0,1.0,0.0,True,0.325,0.0011334681701660153,0,0,0.0,0.0,100.00000083839355,0.0,0.0
5,0.060000000000000005,0.3762921537139893,0.0,0.0,0.0,0.0,1.0,0.0,True,0.375,0.0012921537139892574,0,0,0.0,0.0,100.00000121621628,0.0,0.0
6,0.07,0.42643213703300475,0.0,0.0,0.0,0.0,1.0,0.0,True,0.42500000000000004,0.0014321370330047604,0,0,0.0,0.0,100.00000164693418,0.0,0.0
7,0.08,0.5140548916358337,0.0,0.0,0.0,0.0,1.0,0.0,True,0.5125,0.0015548916358337395,0,0,0.0,0.0,100.00000212431318,0.0,0.0
8,0.09,0.5641617904357974,0.0,0.0,0.0,0.0,1.0,0.0,True,0.5625,0.001661790435797309,0,0,0.0,0.0,100.0000026426104,0.0,0.0
9,0.09999999999999999,0.6142541121266749,0.0,0.0,0.0,0.0,1.0,0.0,True,0.6125,0.0017541121266749374,0,0,0.0,0.0,100.00000319654056,0.0,0.0
10,0.10999999999999999,0.7018330471723753,0.0,0.0,0.0,0.0,1.0,0.0,True,0.7,0.0018330471723753097,0,0,0.0,0.0,100.00000378124462,0.0,0.0
11,0.11999999999999998,0.7518997034331889,0.0,0.0,0.0,0.0,1.0,0.0,True,0.75,0.0018997034331889571,0,0,0.0,0.0,100.00000439226037,0.0,0.0
12,0.12999999999999998,0.8019551114499903,0.0,0.0,0.0,0.0,1.0,0.0,True,0.8,0.001955111449990301,0,0,0.0,0.0,100.00000502549489,0.0,0.0
13,0.13999999999999999,0.8520002294065285,0.0,0.0,0.0,0.0,1.0,0.0,True,0.85,0.002000229406528539,0,0,0.0,0.0,100.00000567719874,0.0,0.0
14,0.15,0.9020359477887879,0.0,0.0,0.0,0.0,1.0,0.0,True,0.8999999999999999,0.0020359477887879774,0,0,0.0,0.0,100.0000063439419,0.0,0.0
15,0.16,1.0270630937593053,0.0,0.0,0.0,0.0,1.0,0.0,True,1.025,0.0020630937593051502,0,0,0.0,0.0,100.00000702259122,0.0,0.0
16,0.17,1.0770824352632986,0.0,0.0,0.0,0.0,1.0,0.0,True,1.075,0.002082435263298636,0,0,0.0,0.0,100.00000771028918,0.0,0.0
17,0.18000000000000002,1.1270946848824948,0.0,0.0,0.0,0.0,1.0,0.0,True,1.125,0.00209468488249451,0,0,0.0,0.0,100.00000840443434,0.0,0.0
18,0.19000000000000003,1.1771005034516127,0.0,0.0,0.0,0.0,1.0,0.0,True,1.175,0.0021005034516125504,0,0,0.0,0.0,100.0000091026627,0.0,0.0
19,0.20000000000000004,1.2271005034516127,0.0,0.0,0.0,0.0,1.0,0.0,True,1.225,0.0021005034516125504,0,0,0.0,0.0,100.00000980283058,0.0,0.0
20,0.21000000000000005,1.2770952521929835,0.0,0.0,0.0,0.0,1.0,0.0,True,1.2750000000000001,0.002095252192983519,0,0,0.0,0.0,100.00001050299846,0.0,0.0
21,0.22000000000000006,1.3270852748015884,0.0,0.0,0.0,0.0,1.0,0.0,True,1.3250000000000002,0.0020852748015883597,0,0,0.0,0.0,100.00001120141593,0.0,0.0
