step,time,omega,kinetic,potential,entropy,gradient_norm,max_density,min_density,is_stable,gradient_energy,entropy_interaction,M_baryon,M_halo,M_total,Halo_Ratio,V_virial
0,0.001,0.024426830290444748,0.0,0.0,0.0,0.0,0.4492532194060475,0.0013336295933739936,True,0.024426830290444748,0.0,99.97834249444224,0.0,99.97834249444224,0.0,0.0
1,0.002,0.02238319278383251,75233.13368024342,0.0,0.0,0.0,0.42665651710580965,0.0013336283478493835,True,0.0223588902554461,2.4302528386404792e-05,99.95511731383598,1404.6843311104262,1504.6394484242621,14.053150742507645,38.78998161387639
2,0.003,0.020639114696990445,72680.83983122483,0.0,0.0,0.0,0.407285662084156,0.0013336271023286622,True,0.020616858456774495,2.225624021595263e-05,99.93135989203053,1353.661679310661,1453.5930392026914,13.545914723462786,38.12632681788919
3,0.004,0.019144249570974697,70400.53882942015,0.0,0.0,0.0,0.3903466200867485,0.0013336258568123916,True,0.019123719164475472,2.053040649922211e-05,99.9071184073282,1308.0794166963724,1407.9865351037006,13.092955112068687,37.52346967683563
4,0.005,0.01784565481905665,68340.03397381309,0.0,0.0,0.0,0.3753030916203167,0.0013336246113014843,True,0.01782660502152361,1.9049797533035706e-05,99.88245000699897,1266.8935610689336,1366.7760110759327,12.683845470024774,36.97026750614961
5,0.006,0.016705255710920217,66461.82556641285,0.0,0.0,0.0,0.36179700335858517,0.0013336233657962112,True,0.016687493088834868,1.7762622085352998e-05,99.8573783819688,1229.3540613212576,1329.2114397032265,12.311098901540262,36.45869596307933
6,0.007,0.015694717898417317,64737.56814788582,0.0,0.0,0.0,0.34955755153631507,0.0013336221202973405,True,0.015678086348191896,1.6631550225422957e-05,99.83192760141304,1194.8939845757473,1294.7259121771604,11.969056526029307,35.982653639743084
7,0.008,0.014792386571868578,63145.304383894385,0.0,0.0,0.0,0.3383880375350516,0.001333620874804847,True,0.014776757818822784,1.5628753045795612e-05,99.80611044288639,1163.0741600764745,1262.880270519361,11.653336202600393,35.53738999529774
8,0.009000000000000001,0.013981352639431014,61667.54187722214,0.0,0.0,0.0,0.32812751687853814,0.0013336196293197145,True,0.013966619707827177,1.4732931603839084e-05,99.77994118171608,1133.5447271015562,1233.3246682832723,11.36044693618149,35.11909505588723
9,0.010000000000000002,0.013248174958484023,60290.13817857203,0.0,0.0,0.0,0.31865696016053935,0.0013336183838413083,True,0.013234247523654158,1.3927434829865657e-05,99.7534255102278,1106.0228223897243,1205.776247899952,11.08756733637418,34.72467082020275
10,0.011000000000000003,0.0125820069112006,59001.41656083579,0.0,0.0,0.0,0.3098692999270958,0.001333617138371509,True,0.012568807897943426,1.3199013257172924e-05,99.72657572183272,1080.2749057064877,1180.0014814283204,10.832367379271755,34.35154044896263
11,0.012000000000000004,0.011973980817756073,57791.694115659426,0.0,0.0,0.0,0.3016906279476886,0.0013336158929079793,True,0.011961443852175367,1.2536965580708898e-05,99.6993891770416,1056.1073065913558,1155.8066957683975,10.59291651933169,33.997557005073006
12,0.013000000000000005,0.0114167652209448,56652.72745001205,0.0,0.0,0.0,0.29404004279909646,0.0013336146474555977,True,0.011404832684701355,1.193253624344514e-05,99.67188463760787,1033.3551598231993,1133.0270444608072,10.367569185332023,33.66087564220873
13,0.014000000000000005,0.010904237366428359,55577.682555325024,0.0,0.0,0.0,0.28687770582276484,0.0013336134020066727,True,0.010892858884823806,1.1378481604554453e-05,99.64404075604608,1011.8817664688925,1111.5258072249385,10.154965201943998,33.339970772430206
14,0.015000000000000006,0.010431242715618128,54560.59113174572,0.0,0.0,0.0,0.2801270383674321,0.0013336121565765123,True,0.010420373966938994,1.0868748679131824e-05,99.61590517323037,991.5677818788683,1091.1836870520988,9.953910273109448,33.03349546498091
15,0.016000000000000007,0.009993411878955898,53597.40643199466,0.0,0.0,0.0,0.27378949181914564,0.0013336109111400601,True,0.009983013639893082,1.0398239062817735e-05,99.58739817282904,972.3322234666631,1071.919621639492,9.763607055678516,32.74061894100191
16,0.017000000000000008,0.009587056899810192,52686.368537105525,0.0,0.0,0.0,0.26775788502961834,0.0013336096657530847,True,0.009577094270167242,9.962629642950026e-06,99.55867337212524,954.1399725692813,1053.6986459414065,9.583695124114026,32.461167119222786
17,0.01800000000000001,0.009209176670475976,51838.51390517018,0.0,0.0,0.0,0.262119050885148,0.0009959320336443787,True,0.009199618395185502,9.558275290475124e-06,99.52944584711582,937.2116047312783,1036.7410505783942,9.416425428123897,32.198917343653086
18,0.01900000000000001,0.00885795857806379,51107.993079171785,0.0,0.0,0.0,0.25664324550596357,0.0003847141032183622,True,0.008848776318911214,9.182259152577166e-06,99.5002595339307,922.63041573632,1022.1306752702507,9.272643308155594,31.971234908639918
19,0.02000000000000001,0.008533912278509324,50824.82009669752,0.0,0.0,0.0,0.25165809805862127,1e-12,True,0.008525078239164176,8.834039345149308e-06,99.48222734949877,916.9961424000198,1016.4783697495186,9.21768809185616,31.882540707006875
20,0.02100000000000001,0.00824534823958922,590521.2711305837,0.0,0.0,0.0,0.24651892724449967,1e-12,True,0.008230109153499414,1.523908608980722e-05,99.52304535082334,11710.943195262178,11810.466240613001,117.67066767162208,108.67578121463713
21,0.022000000000000013,0.008022086195207057,2891949.400576706,0.0,0.0,0.0,0.24232744723111713,1e-12,True,0.007968833012943446,5.325318226361073e-05,99.62820983849595,57739.464966183295,57839.09317602179,579.5493571469699,240.49737630904443
22,0.023000000000000013,0.00793953440489071,9309835.985000143,0.0,0.0,0.0,0.23702322920816937,1e-12,True,0.007751465017754458,0.0001880693871362516,99.81038829203362,186097.09149016434,186196.90187845638,1864.5062370041214,431.5051792273215
23,0.024000000000000014,0.008160175026680903,23367046.415342037,0.0,0.0,0.0,0.23436304531326704,1e-12,True,0.007605556298127966,0.0005546187285529372,100.03823993233752,467241.11791854876,467341.1561584811,4670.625135247324,683.6233819193436
24,0.025000000000000015,0.008867119544103064,47649577.86990194,0.0,0.0,0.0,0.229469352802195,1e-12,True,0.007645115791984687,0.0012220037521183777,100.2698088664661,952891.5191581064,952991.7889669728,9503.274514241994,976.2128647984715
25,0.026000000000000016,0.010033966487705544,87022183.07730883,0.0,0.0,0.0,0.24081870314272397,1e-12,True,0.008323576128441399,0.0017103903592641458,100.3834732228457,1740343.3917373102,1740443.775210533,17336.951351110438,1319.2587545838674
26,0.027000000000000017,0.01336158558344308,154216252.4513138,0.0,0.0,0.0,0.2631799395312069,1e-12,True,0.011366086510862256,0.0019954990725808263,100.62801654881119,3084224.665553053,3084325.2935696016,30649.76108344888,1756.2246579029336
27,0.028000000000000018,0.026817864294463974,264096871.67832497,0.0,0.0,0.0,0.33833885333725633,1e-12,True,0.02365446717157208,0.003163397122891891,100.85075939457434,5281836.805549949,5281937.656309344,52372.80152579331,2298.246599816151
28,0.02900000000000002,0.07088116515408044,351636525.0720741,0.0,0.0,0.0,0.44517153825117617,1e-12,True,0.06653423238459327,0.004346932769487159,102.03227332860658,7032629.650682087,7032731.682955416,68925.54111740483,2651.929580784807
29,0.03000000000000002,0.2579876126560461,4342303885.0912,0.0,0.0,0.0,0.6985759739031406,1e-12,True,0.23842604627246497,0.019561566383581128,97.18700709463681,86845975.66955069,86846072.85655779,893596.564652824,9319.124299086476
30,0.03100000000000002,0.1709072701879839,62463812050.548996,0.0,0.0,0.0,0.4804210223890231,1e-12,True,0.16361430300784596,0.0072929671801379315,86.33118955224944,1249276143.823973,1249276230.1551626,14470739.373438312,35345.10207950997
31,0.03200000000000002,0.14079067476202248,31000361644.772224,0.0,0.0,0.0,0.4121045312391787,1e-12,True,0.11058319904595855,0.03020747571606397,76.33491840445161,620007146.564255,620007222.8991734,8122195.706964637,24899.9444355895
32,0.03300000000000002,0.07243220267710915,20675470203.550976,0.0,0.0,0.0,0.24192604842865062,1e-12,True,0.06676441614011697,0.005667786536992183,71.23358811731968,413509327.73610115,413509398.96968925,5804976.818649906,20334.93063846099
33,0.03400000000000002,0.08955943482389225,9634746869.405552,0.0,0.0,0.0,0.221620615794016,1e-12,True,0.061781440644620676,0.02777799417927159,63.953705881362154,192694866.1545229,192694930.10822877,3013036.750504655,13881.460203743374
34,0.035000000000000024,0.06420491409372028,12520825761.962227,0.0,0.0,0.0,0.21148569084941987,1e-12,True,0.057387872188144555,0.006817041905575727,56.14260507338587,250416451.28553867,250416507.42814374,4460363.942032091,15824.554187693395
35,0.036000000000000025,0.05279134983878657,12711281515.938847,0.0,0.0,0.0,0.1744457917319244,1e-12,True,0.0447695085609199,0.008021841277866669,48.584803962020985,254225574.17617184,254225622.7609758,5232615.003853238,15944.454531867088
36,0.037000000000000026,0.043420588574437785,9327410497.0775,0.0,0.0,0.0,0.1321928189026855,1e-12,True,0.030408090364717505,0.013012498209720273,42.287352516456146,186548161.35674602,186548203.64409852,4411441.016075416,13658.265261062621
37,0.03800000000000003,0.03914245816598432,7004418925.169775,0.0,0.0,0.0,0.14727515942447567,1e-12,True,0.022449514711597784,0.016692943454386537,36.979309757711704,140088336.216043,140088373.19535276,3788289.6444015037,11835.893650392247
38,0.03900000000000003,0.02564803300175196,5536751352.174157,0.0,0.0,0.0,0.10518871188488892,1e-12,True,0.015947069203112278,0.009700963798639686,32.71258886832017,110734990.06417337,110735022.77676223,3385087.9398917677,10523.071179246253
