step,time,omega,kinetic,potential,entropy,gradient_norm,max_density,min_density,is_stable,Zero_ID,Imaginary_t,Status
1,0.029710769653320312,6.668186342283778e-16,14.134725141734695,0.0,0.0,0.0,0.0,0.0,True,1,14.134725141734695,PASS
2,0.05072307586669922,1.160916404432883e-15,21.022039638771556,0.0,0.0,0.0,0.0,0.0,True,2,21.022039638771556,PASS
3,0.07040619850158691,8.49884485575286e-16,25.01085758014569,0.0,0.0,0.0,0.0,0.0,True,3,25.01085758014569,PASS
4,0.09125971794128418,1.0578057324100325e-15,30.424876125859512,0.0,0.0,0.0,0.0,0.0,True,4,30.424876125859512,PASS
5,0.11106133460998535,2.7490910092466363e-15,32.93506158773919,0.0,0.0,0.0,0.0,0.0,True,5,32.93506158773919,PASS
6,0.13150858879089355,6.666942710405275e-15,37.586178158825675,0.0,0.0,0.0,0.0,0.0,True,6,37.586178158825675,PASS
7,0.15211153030395508,4.794581520531557e-15,40.9187190121475,0.0,0.0,0.0,0.0,0.0,True,7,40.9187190121475,PASS
8,0.17216730117797852,4.3167091771724725e-15,43.327073280915,0.0,0.0,0.0,0.0,0.0,True,8,43.327073280915,PASS
9,0.19420909881591797,1.9998078013891557e-15,48.00515088116716,0.0,0.0,0.0,0.0,0.0,True,9,48.00515088116716,PASS
10,0.21522879600524902,2.4488081356777964e-15,49.7738324776723,0.0,0.0,0.0,0.0,0.0,True,10,49.7738324776723,PASS
11,0.23412156105041504,7.545642507843105e-15,52.970321477714464,0.0,0.0,0.0,0.0,0.0,True,11,52.970321477714464,PASS
12,0.25485825538635254,7.79378304633177e-15,56.44624769706339,0.0,0.0,0.0,0.0,0.0,True,12,56.44624769706339,PASS
13,0.2770059108734131,8.571734057827425e-16,59.34704400260235,0.0,0.0,0.0,0.0,0.0,True,13,59.34704400260235,PASS
14,0.29926466941833496,2.025276320396503e-16,60.83177852460981,0.0,0.0,0.0,0.0,0.0,True,14,60.83177852460981,PASS
15,0.32132434844970703,9.622894137220615e-15,65.1125440480816,0.0,0.0,0.0,0.0,0.0,True,15,65.1125440480816,PASS
16,0.3436155319213867,1.058248402980891e-14,67.07981052949417,0.0,0.0,0.0,0.0,0.0,True,16,67.07981052949417,PASS
17,0.36487698554992676,1.2454939415804993e-14,69.54640171117398,0.0,0.0,0.0,0.0,0.0,True,17,69.54640171117398,PASS
18,0.38744258880615234,7.936402200816488e-15,72.0671576744819,0.0,0.0,0.0,0.0,0.0,True,18,72.0671576744819,PASS
19,0.4108433723449707,1.2543277824394556e-14,75.70469069908393,0.0,0.0,0.0,0.0,0.0,True,19,75.70469069908393,PASS
20,0.4342830181121826,8.5609983118655e-15,77.1448400688748,0.0,0.0,0.0,0.0,0.0,True,20,77.1448400688748,PASS
21,0.4606754779815674,6.329110547037484e-16,79.33737502024937,0.0,0.0,0.0,0.0,0.0,True,21,79.33737502024937,PASS
22,0.4873483180999756,4.330134721269215e-15,82.91038085408603,0.0,0.0,0.0,0.0,0.0,True,22,82.91038085408603,PASS
23,0.5143582820892334,2.7213572575263908e-15,84.73549298051705,0.0,0.0,0.0,0.0,0.0,True,23,84.73549298051705,PASS
24,0.5425434112548828,7.596839915687335e-15,87.42527461312523,0.0,0.0,0.0,0.0,0.0,True,24,87.42527461312523,PASS
25,0.5709948539733887,1.473998180376794e-14,88.80911120763446,0.0,0.0,0.0,0.0,0.0,True,25,88.80911120763446,PASS
26,0.5987002849578857,2.0905025173378786e-14,92.49189927055849,0.0,0.0,0.0,0.0,0.0,True,26,92.49189927055849,PASS
27,0.6275284290313721,1.2513987259314613e-15,94.65134404051989,0.0,0.0,0.0,0.0,0.0,True,27,94.65134404051989,PASS
28,0.6528232097625732,3.1561500045397634e-15,95.87063422824531,0.0,0.0,0.0,0.0,0.0,True,28,95.87063422824531,PASS
29,0.6772212982177734,1.802444881765381e-14,98.83119421819369,0.0,0.0,0.0,0.0,0.0,True,29,98.83119421819369,PASS
30,0.7044332027435303,2.1663068099031808e-14,101.31785100573138,0.0,0.0,0.0,0.0,0.0,True,30,101.31785100573138,PASS
31,0.7424161434173584,3.2537612149115056e-15,103.72553804047834,0.0,0.0,0.0,0.0,0.0,True,31,103.72553804047834,PASS
32,0.779909610748291,1.0275589438875036e-14,105.44662305232609,0.0,0.0,0.0,0.0,0.0,True,32,105.44662305232609,PASS
33,0.8176007270812988,2.0476252063089414e-14,107.1686111842764,0.0,0.0,0.0,0.0,0.0,True,33,107.1686111842764,PASS
34,0.8560011386871338,4.022525819962782e-15,111.02953554316967,0.0,0.0,0.0,0.0,0.0,True,34,111.02953554316967,PASS
35,0.9113619327545166,3.2851501507094204e-16,111.87465917699264,0.0,0.0,0.0,0.0,0.0,True,35,111.87465917699264,PASS
36,1.0343079566955566,1.1486916741746918e-14,114.32022091545271,0.0,0.0,0.0,0.0,0.0,True,36,114.32022091545271,PASS
37,1.1672635078430176,1.6536827984576063e-15,116.22668032085755,0.0,0.0,0.0,0.0,0.0,True,37,116.22668032085755,PASS
38,1.3043816089630127,2.17665070585176e-14,118.79078286597621,0.0,0.0,0.0,0.0,0.0,True,38,118.79078286597621,PASS
39,1.4420678615570068,9.737768664731729e-15,121.37012500242065,0.0,0.0,0.0,0.0,0.0,True,39,121.37012500242065,PASS
40,1.567805290222168,9.067677401779927e-15,122.94682929355258,0.0,0.0,0.0,0.0,0.0,True,40,122.94682929355258,PASS
41,1.7167422771453857,6.906619562808606e-15,124.25681855434577,0.0,0.0,0.0,0.0,0.0,True,41,124.25681855434577,PASS
42,1.8425850868225098,1.603590414615463e-14,127.5166838795965,0.0,0.0,0.0,0.0,0.0,True,42,127.5166838795965,PASS
43,1.9640259742736816,3.1109366910934846e-14,129.57870419995606,0.0,0.0,0.0,0.0,0.0,True,43,129.57870419995606,PASS
44,2.1006741523742676,2.3161276364618313e-14,131.08768853093267,0.0,0.0,0.0,0.0,0.0,True,44,131.08768853093267,PASS
45,2.2374937534332275,2.6808010613461242e-14,133.4977372029976,0.0,0.0,0.0,0.0,0.0,True,45,133.4977372029976,PASS
46,2.381786823272705,1.4541303509256515e-14,134.75650975337388,0.0,0.0,0.0,0.0,0.0,True,46,134.75650975337388,PASS
47,2.5773918628692627,1.7941977049347236e-14,138.11604205453344,0.0,0.0,0.0,0.0,0.0,True,47,138.11604205453344,PASS
48,2.7190160751342773,2.6432435855318126e-15,139.7362089521214,0.0,0.0,0.0,0.0,0.0,True,48,139.7362089521214,PASS
49,2.856966018676758,1.775771245018736e-14,141.12370740402113,0.0,0.0,0.0,0.0,0.0,True,49,141.12370740402113,PASS
50,3.004718780517578,2.8131536393153893e-14,143.11184580762063,0.0,0.0,0.0,0.0,0.0,True,50,143.11184580762063,PASS
51,3.14469575881958,3.301156649702004e-14,146.0009824867655,0.0,0.0,0.0,0.0,0.0,True,51,146.0009824867655,PASS
52,3.2962188720703125,3.5103075082861797e-14,147.42276534255961,0.0,0.0,0.0,0.0,0.0,True,52,147.42276534255961,PASS
53,3.4434540271759033,4.065077765218086e-15,150.05352042078488,0.0,0.0,0.0,0.0,0.0,True,53,150.05352042078488,PASS
54,3.595247507095337,2.0619727226471016e-16,150.92525761224147,0.0,0.0,0.0,0.0,0.0,True,54,150.92525761224147,PASS
55,3.746615409851074,3.984222751254887e-14,153.0246938111989,0.0,0.0,0.0,0.0,0.0,True,55,153.0246938111989,PASS
