step,time,omega,kinetic,potential,entropy,gradient_norm,max_density,min_density,is_stable
0,0.0,0.9999999999999998,0.0,0.0,0.0,0.0,0.7071067811865475,0.0,True
1,1.0,0.9999999999999996,0.0,0.0,0.0,0.0,0.4999999999999999,0.0,True
2,2.0,0.9999999999999996,0.0,0.0,0.0,0.0,0.3535533905932737,0.0,True
3,3.0,0.9999999999999993,0.0,0.0,0.0,0.0,0.24999999999999992,0.0,True
4,4.0,0.9999999999999992,0.0,0.0,0.0,0.0,0.1767766952966368,0.0,True
5,5.0,0.9999999999999991,0.0,0.0,0.0,0.0,0.12499999999999994,0.0,True
6,6.0,0.9999999999999987,0.0,0.0,0.0,0.0,0.08838834764831839,0.0,True
7,7.0,0.9999999999999983,0.0,0.0,0.0,0.0,0.06249999999999996,0.0,True
8,8.0,0.9999999999999983,0.0,0.0,0.0,0.0,0.04419417382415919,0.0,True
9,9.0,0.9999999999999983,0.0,0.0,0.0,0.0,0.031249999999999976,0.031249999999999976,True
10,10.0,0.9999999999999983,0.0,0.0,0.0,0.0,0.031249999999999976,0.031249999999999976,True
11,11.0,0.9999999999999983,0.0,0.0,0.0,0.0,0.031249999999999976,0.031249999999999976,True
12,12.0,0.9999999999999983,0.0,0.0,0.0,0.0,0.031249999999999976,0.031249999999999976,True
13,13.0,0.9999999999999983,0.0,0.0,0.0,0.0,0.031249999999999976,0.031249999999999976,True
14,14.0,0.9999999999999983,0.0,0.0,0.0,0.0,0.031249999999999976,0.031249999999999976,True
15,15.0,0.9999999999999983,0.0,0.0,0.0,0.0,0.031249999999999976,0.031249999999999976,True
16,16.0,0.9999999999999983,0.0,0.0,0.0,0.0,0.031249999999999976,0.031249999999999976,True
17,17.0,0.9999999999999983,0.0,0.0,0.0,0.0,0.031249999999999976,0.031249999999999976,True
18,18.0,0.9999999999999983,0.0,0.0,0.0,0.0,0.031249999999999976,0.031249999999999976,True
20,20.0,0.9999999999999998,0.0,0.0,0.0,0.0,0.09362792968749994,0.031127929687499997,True
