name,type,v_obs,v_uet,error
NGC5585,spiral,90,90.34096960036189,0.37885511151320844
UGC4278,lsb,90,90.34096960036189,0.37885511151320844
UGC6930,lsb,90,90.34096960036189,0.37885511151320844
NGC2403,spiral,130,129.2416710682178,0.58332994752476
UGC2885,spiral,300,297.50789450166064,0.8307018327797854
UGC7323,lsb,85,85.8018418263878,0.9433433251621182
UGC6399,lsb,85,85.8018418263878,0.9433433251621182
UGC7399,lsb,85,85.8018418263878,0.9433433251621182
UGC11648,lsb,85,85.8018418263878,0.9433433251621182
NGC6503,spiral,115,113.66751434166962,1.1586831811568559
UGC3137,lsb,100,98.78029059847955,1.219709401520447
UGC11861,lsb,100,98.78029059847955,1.219709401520447
UGC8286,lsb,80,78.69108810650427,1.636139866869666
F568-V1,lsb,80,78.69108810650427,1.636139866869666
UGC3371,lsb,80,78.69108810650427,1.636139866869666
UGC4499,lsb,80,78.69108810650427,1.636139866869666
UGC6983,lsb,80,78.69108810650427,1.636139866869666
UGC8490,lsb,80,78.69108810650427,1.636139866869666
NGC247,lsb,100,101.664449191467,1.664449191467
UGC4325,lsb,90,88.44786508259753,1.72459435266941
UGC6973,lsb,65,66.17297042437376,1.8045698836519364
UGC7151,lsb,65,66.17297042437376,1.8045698836519364
DDO53,dwarf,30,29.435933000013502,1.8802233332883254
UGC5005,lsb,85,86.63586491425411,1.9245469579460166
NGC3310,compact,145,142.15051757691367,1.9651602917836748
NGC3198,spiral,150,153.0201511203381,2.0134340802254087
NGC5055,spiral,200,205.00777650017537,2.503888250087684
NGC3034,spiral,130,126.58067635825033,2.6302489551920543
AndII,ultrafaint,12,12.331752365450997,2.7646030454249777
NGC4826,spiral,150,145.49733182693927,3.001778782040484
UGC5750,lsb,75,72.52413529575506,3.301152938993255
UGC7603,lsb,75,72.52413529575506,3.301152938993255
NGC7678,spiral,150,145.04597043562114,3.3026863762525713
NGC4565,spiral,255,246.44628315745456,3.354398761782526
NGC7640,spiral,110,106.1750146105404,3.4772594449632717
UGC6614,lsb,110,106.1750146105404,3.4772594449632717
NGC5474,spiral,70,72.52413529575506,3.6059075653643697
UGC6818,lsb,70,72.52413529575506,3.6059075653643697
UGC11616,lsb,70,72.52413529575506,3.6059075653643697
IC2574,dwarf,65,62.65415221931134,3.6089965856748583
NGC4605,spiral,90,86.66149933596576,3.7094451822602696
NGC7793,lsb,100,96.23834504535085,3.7616549546491456
NGC6946,spiral,170,163.4480754404986,3.854073270294942
NGC4631,spiral,140,145.42354278603574,3.8739591328826704
LeoT,ultrafaint,10,10.399367292918898,3.993672929188978
UGC7125,lsb,95,91.13388583255393,4.069593860469548
UGC11454,lsb,95,91.13388583255393,4.069593860469548
F571-8,lsb,90,85.8018418263878,4.664620192902444
F583-4,lsb,60,62.80889276362952,4.681487939382537
UGC3851,lsb,60,62.80889276362952,4.681487939382537
UGC7608,lsb,60,62.80889276362952,4.681487939382537
UGC11707,lsb,60,62.80889276362952,4.681487939382537
AndVI,ultrafaint,10,10.481247837256115,4.812478372561149
UGC6917,lsb,95,90.34096960036189,4.904242525934855
UGC2455,lsb,75,78.69108810650427,4.921450808672356
UGC6446,lsb,75,78.69108810650427,4.921450808672356
UGC7524,lsb,75,78.69108810650427,4.921450808672356
UGC12632,lsb,75,78.69108810650427,4.921450808672356
Haro36,dwarf,32,30.42156940384692,4.932595612978375
LeoA,ultrafaint,15,14.253270872831953,4.978194181120313
NGC4736,compact,160,151.7682514271944,5.1448428580035
NGC5023,spiral,85,80.59779157447358,5.17906873591344
NGC4183,spiral,115,121.23727488407636,5.4237172905011795
NGC3031,spiral,220,208.002395465571,5.453456606558637
NGC925,spiral,110,116.72208836045077,6.110989418591608
NGC660,spiral,140,130.88161708684703,6.513130652252122
UGC11914,lsb,120,111.74817590735142,6.876520077207146
NGC6822,spiral,55,58.83659933620554,6.975635156737341
F583-1,lsb,85,78.69108810650427,7.4222492864655685
F574-1,lsb,115,106.1750146105404,7.673900338660521
UGCA281,ultrafaint,25,22.982562035109318,8.069751859562729
DDO50,dwarf,40,36.635225591168215,8.411936022079463
UGC2259,lsb,65,70.58030291811816,8.585081412489483
NGC4559,spiral,120,130.46396303442972,8.719969195358104
F568-3,lsb,100,91.13388583255393,8.86611416744607
UGC8508,dwarf,28,25.460856984638863,9.068367912004062
UGC7232,lsb,70,76.3647914391934,9.09255919884771
UGC4459,ultrafaint,30,27.16304001253714,9.456533291542861
NGC2366,dwarf,52,47.03678558979666,9.544643096544888
UGC7261,lsb,50,54.78289287271061,9.565785745421223
UGC11820,lsb,50,54.78289287271061,9.565785745421223
DDO52,dwarf,35,31.651637695178355,9.566749442347557
DDO133,dwarf,35,31.651637695178355,9.566749442347557
NGC6689,spiral,85,76.78239694977898,9.667768294377666
WLM,dwarf,30,27.032955255073354,9.890149149755487
DDO101,dwarf,38,34.1258670001057,10.195086841827106
UGC7089,lsb,60,66.17297042437376,10.288284040622932
UGC7690,lsb,45,49.7015943451984,10.447987433774225
NGC55,lsb,85,94.01704584422382,10.608289228498606
F568-1,lsb,110,98.08032585321551,10.836067406167714
Phoenix,ultrafaint,8,8.868982807429033,10.862285092862912
NGC2841,spiral,300,266.7054874848658,11.09817083837807
UGCA442,ultrafaint,32,28.362317492878365,11.36775783475511
SagDIG,dwarf,20,17.713183082429662,11.43408458785169
NGC7814,spiral,180,159.24450347465896,11.530831402967246
UGC5829,lsb,65,72.52413529575506,11.57559276270009
NGC4244,spiral,95,106.1750146105404,11.763173274253054
SextansA,dwarf,25,22.019568574173043,11.921725703307828
NGC1569,dwarf,40,35.1613955792421,12.096511051894758
NGC300,lsb,80,90.34096960036189,12.926212000452358
NGC4100,spiral,170,147.7361139308265,13.096403570102064
DDO64,dwarf,50,43.351684251783574,13.29663149643285
NGC891,spiral,225,194.5235099639374,13.545106682694483
Tucana,ultrafaint,18,15.534240075223671,13.698666248757382
NGC4455,spiral,50,56.96701514035691,13.934030280713813
UGC6923,lsb,50,56.96701514035691,13.934030280713813
UGC9211,lsb,50,56.96701514035691,13.934030280713813
UGC8550,lsb,55,62.80889276362952,14.197986842962768
UGC5414,lsb,55,62.80889276362952,14.197986842962768
UGC5918,lsb,55,62.80889276362952,14.197986842962768
UGC6667,lsb,55,62.80889276362952,14.197986842962768
UGC11557,lsb,55,62.80889276362952,14.197986842962768
UGC12732,lsb,55,62.80889276362952,14.197986842962768
DDO87,dwarf,45,38.51581722791093,14.409295049086824
NGC4163,dwarf,28,23.887919330680987,14.686002390425049
DDO126,dwarf,42,35.826120660486126,14.699712713128271
NGC5371,spiral,210,178.6490355239071,14.929030702901386
NGC5204,dwarf,55,46.75900915453065,14.983619719035177
UGC1501,lsb,70,80.59779157447358,15.139702249247966
NGC4088,spiral,180,152.036170907922,15.535460606709991
NGC4138,spiral,165,139.08916993999551,15.703533369699688
UGC5721,lsb,45,52.382971690594566,16.406603756876812
UGC7866,lsb,45,52.382971690594566,16.406603756876812
UGC4305,dwarf,48,39.65188298863496,17.391910440343835
UGC7559,lsb,50,58.95735088151758,17.914701763035154
NGC3627,spiral,180,147.7361139308265,17.92438114954084
CVnIdwA,ultrafaint,22,17.948406452103743,18.41633430861935
NGC5033,spiral,200,163.1651368308851,18.41743158455745
NGC3628,spiral,175,142.4873112465353,18.578679287694108
NGC4395,spiral,80,94.96467943786996,18.70584929733745
NGC4725,spiral,200,162.50292737454328,18.748536312728362
NGC7331,spiral,240,194.5235099639374,18.94853751502608
DDO154,ultrafaint,50,40.24502031832806,19.50995936334388
NGC4013,spiral,210,168.73509780040192,19.64995342838004
UGC7577,lsb,40,48.09016652348683,20.225416308717072
