UET Thermodynamic Scaling Laws Data
==================================================

QUANTUM:
  Scale: 1.00e-15 m, kappa: 14000000000000000000000.000000
  Scale: 3.43e-12 m, kappa: 1524632147.169207
  Scale: 1.18e-08 m, kappa: 0.000166
  Scale: 4.04e-05 m, kappa: 0.000000
  Scale: 1.38e-01 m, kappa: 0.000000
  Scale: 4.75e+02 m, kappa: 0.000000
  Scale: 1.63e+06 m, kappa: 0.000000
  Scale: 5.59e+09 m, kappa: 0.000000
  Scale: 1.92e+13 m, kappa: 0.000000
  Scale: 6.58e+16 m, kappa: 0.000000

NUCLEAR:
  Scale: 1.00e-15 m, kappa: 0.570000
  Scale: 3.43e-12 m, kappa: 0.000000
  Scale: 1.18e-08 m, kappa: 0.000000
  Scale: 4.04e-05 m, kappa: 0.000000
  Scale: 1.38e-01 m, kappa: 0.000000
  Scale: 4.75e+02 m, kappa: 0.000000
  Scale: 1.63e+06 m, kappa: 0.000000
  Scale: 5.59e+09 m, kappa: 0.000000
  Scale: 1.92e+13 m, kappa: 0.000000
  Scale: 6.58e+16 m, kappa: 0.000000

FLUID:
  Scale: 1.00e-15 m, kappa: 10000000000000001377312156244794374029836288.000000
  Scale: 3.43e-12 m, kappa: 1089022962263714995221825585152.000000
  Scale: 1.18e-08 m, kappa: 118597101233766592.000000
  Scale: 4.04e-05 m, kappa: 12915.496650
  Scale: 1.38e-01 m, kappa: 0.000000
  Scale: 4.75e+02 m, kappa: 0.000000
  Scale: 1.63e+06 m, kappa: 0.000000
  Scale: 5.59e+09 m, kappa: 0.000000
  Scale: 1.92e+13 m, kappa: 0.000000
  Scale: 6.58e+16 m, kappa: 0.000000

GALACTIC:
  Scale: 1.00e-15 m, kappa: 32316520350478964624089947969730718888173883472899352577630157894833632312959703233211780130049857227162211945087030884044898304.000000
  Scale: 3.43e-12 m, kappa: 3519343272213364963905131063402535053041380517084791829635579659526763133464516367497074350038674014867359218532352.000000
  Scale: 1.18e-08 m, kappa: 383264563552861112237156698999102479428726749259800617643876402431920842359315039303617812366771617792.000000
  Scale: 4.04e-05 m, kappa: 41738391033108082491723413269886939467001514459208285658462370841315366641660404676165632.000000
  Scale: 1.38e-01 m, kappa: 4545406624299589644071303473055781514222427222268359185234216189386289053696.000000
  Scale: 4.75e+02 m, kappa: 495005218668793264858700585077930047832100069448521856648740864.000000
  Scale: 1.63e+06 m, kappa: 53907204957069600192365932997373585896469742747648.000000
  Scale: 5.59e+09 m, kappa: 5870618402970611660969829450744070144.000000
  Scale: 1.92e+13 m, kappa: 639323824352293426298880.000000
  Scale: 6.58e+16 m, kappa: 69623832504.192444

BIOLOGICAL:
  Scale: 1.00e-15 m, kappa: 999999999999999945575230987042816.000000
  Scale: 3.43e-12 m, kappa: 108902296226372386816.000000
  Scale: 1.18e-08 m, kappa: 11859710.123377
  Scale: 4.04e-05 m, kappa: 0.000001
  Scale: 1.38e-01 m, kappa: 0.000000
  Scale: 4.75e+02 m, kappa: 0.000000
  Scale: 1.63e+06 m, kappa: 0.000000
  Scale: 5.59e+09 m, kappa: 0.000000
  Scale: 1.92e+13 m, kappa: 0.000000
  Scale: 6.58e+16 m, kappa: 0.000000

