step,time,omega,kinetic,potential,entropy,gradient_norm,max_density,min_density,is_stable,gradient_energy,entropy_interaction,nature_health,gini_estimate,capital_concentration
1,0.001,6.399900408983443,0.0,6.399900408983443,0.0,0.0,57.39543690503252,0.001,True,0.0,0.0,0.0,2.9711301868399422,0.04774108866490631
2,0.002,870.8637606768604,0.0,870.8637606768604,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.4924751627913146,0.004248861577509138
3,0.003,2702.530743911981,0.0,2702.530743911981,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,0.8964644576954129,0.0018084934820646519
4,0.004,2202.7120568143696,0.0,2202.7120568143696,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.0939686291556159,0.002210713030366748
5,0.005,2631.961214684781,0.0,2631.961214684781,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,0.9271036741837898,0.001860788879506956
6,0.006,2249.72213819165,0.0,2249.72213819165,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.0843761066721058,0.002177187394793486
7,0.007,2637.034539972648,0.0,2637.034539972648,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,0.925064013520993,0.001857107380498832
8,0.008,2259.3994612694996,0.0,2259.3994612694996,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.0812708604492247,0.0021691720350601076
9,0.009000000000000001,2641.5995392305,0.0,2641.5995392305,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,0.9248004292924231,0.0018552717016650036
10,0.010000000000000002,2259.3994612694996,0.0,2259.3994612694996,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.0812708604492247,0.0021691720350601076
11,0.011000000000000003,2641.5995392305,0.0,2641.5995392305,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,0.9248004292924231,0.0018552717016650036
12,0.012000000000000004,2259.3994612694996,0.0,2259.3994612694996,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.0812708604492247,0.0021691720350601076
13,0.013000000000000005,2641.5995392305,0.0,2641.5995392305,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,0.9248004292924231,0.0018552717016650036
14,0.014000000000000005,2259.3994612694996,0.0,2259.3994612694996,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.0812708604492247,0.0021691720350601076
15,0.015000000000000006,2641.5995392305,0.0,2641.5995392305,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,0.9248004292924231,0.0018552717016650036
16,0.016000000000000007,2259.3994612694996,0.0,2259.3994612694996,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.0812708604492247,0.0021691720350601076
17,0.017000000000000008,2641.5995392305,0.0,2641.5995392305,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,0.9248004292924231,0.0018552717016650036
18,0.01800000000000001,2259.3994612694996,0.0,2259.3994612694996,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.0812708604492247,0.0021691720350601076
19,0.01900000000000001,2641.5995392305,0.0,2641.5995392305,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,0.9248004292924231,0.0018552717016650036
20,0.02000000000000001,2259.3994612694996,0.0,2259.3994612694996,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.0812708604492247,0.0021691720350601076
21,0.02100000000000001,2641.5995392305,0.0,2641.5995392305,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,0.9248004292924231,0.0018552717016650036
22,0.022000000000000013,2259.3994612694996,0.0,2259.3994612694996,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.0812708604492247,0.0021691720350601076
23,0.023000000000000013,2641.5995392305,0.0,2641.5995392305,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,0.9248004292924231,0.0018552717016650036
24,0.024000000000000014,2259.3994612694996,0.0,2259.3994612694996,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.0812708604492247,0.0021691720350601076
25,0.025000000000000015,2641.5995392305,0.0,2641.5995392305,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,0.9248004292924231,0.0018552717016650036
26,0.026000000000000016,2259.3994612694996,0.0,2259.3994612694996,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.0812708604492247,0.0021691720350601076
27,0.027000000000000017,2641.5995392305,0.0,2641.5995392305,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,0.9248004292924231,0.0018552717016650036
28,0.028000000000000018,2259.3994612694996,0.0,2259.3994612694996,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.0812708604492247,0.0021691720350601076
29,0.02900000000000002,2641.5995392305,0.0,2641.5995392305,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,0.9248004292924231,0.0018552717016650036
30,0.03000000000000002,2259.3994612694996,0.0,2259.3994612694996,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.0812708604492247,0.0021691720350601076
31,0.03100000000000002,2641.5995392305,0.0,2641.5995392305,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,0.9248004292924231,0.0018552717016650036
32,0.03200000000000002,2259.3994612694996,0.0,2259.3994612694996,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.0812708604492247,0.0021691720350601076
33,0.03300000000000002,2641.5995392305,0.0,2641.5995392305,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,0.9248004292924231,0.0018552717016650036
34,0.03400000000000002,2259.3994612694996,0.0,2259.3994612694996,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.0812708604492247,0.0021691720350601076
35,0.035000000000000024,2641.5995392305,0.0,2641.5995392305,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,0.9248004292924231,0.0018552717016650036
36,0.036000000000000025,2259.3994612694996,0.0,2259.3994612694996,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.0812708604492247,0.0021691720350601076
37,0.037000000000000026,2641.5995392305,0.0,2641.5995392305,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,0.9248004292924231,0.0018552717016650036
38,0.03800000000000003,2259.3994612694996,0.0,2259.3994612694996,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.0812708604492247,0.0021691720350601076
39,0.03900000000000003,2641.5995392305,0.0,2641.5995392305,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,0.9248004292924231,0.0018552717016650036
40,0.04000000000000003,2259.3994612694996,0.0,2259.3994612694996,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.0812708604492247,0.0021691720350601076
41,0.04100000000000003,2641.5995392305,0.0,2641.5995392305,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,0.9248004292924231,0.0018552717016650036
42,0.04200000000000003,2259.3994612694996,0.0,2259.3994612694996,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.0812708604492247,0.0021691720350601076
43,0.04300000000000003,2641.5995392305,0.0,2641.5995392305,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,0.9248004292924231,0.0018552717016650036
44,0.04400000000000003,2259.3994612694996,0.0,2259.3994612694996,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.0812708604492247,0.0021691720350601076
45,0.04500000000000003,2641.5995392305,0.0,2641.5995392305,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,0.9248004292924231,0.0018552717016650036
46,0.046000000000000034,2259.3994612694996,0.0,2259.3994612694996,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.0812708604492247,0.0021691720350601076
47,0.047000000000000035,2641.5995392305,0.0,2641.5995392305,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,0.9248004292924231,0.0018552717016650036
48,0.048000000000000036,2259.3994612694996,0.0,2259.3994612694996,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.0812708604492247,0.0021691720350601076
49,0.04900000000000004,2641.5995392305,0.0,2641.5995392305,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,0.9248004292924231,0.0018552717016650036
50,0.05000000000000004,2259.3994612694996,0.0,2259.3994612694996,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.0812708604492247,0.0021691720350601076
15607
