step,time,omega,kinetic,potential,entropy,gradient_norm,max_density,min_density,is_stable,gradient_energy,entropy_interaction,nature_health,gini_estimate,capital_concentration
1,0.001,4.9900050001261606e-11,0.0,4.9900050001261606e-11,0.0,0.0,1.0000099900000001,1.0000099900000001,True,0.0,0.0,1.0,0.0,0.0099999999999
2,0.002,1.994006497018899e-10,0.0,1.994006497018899e-10,0.0,0.0,1.00001997001,1.00001997001,True,0.0,0.0,1.0,2.220401705585647e-16,0.009999999999900004
3,0.003,4.482029973052438e-10,0.0,4.482029973052438e-10,0.0,0.0,1.0000299400399901,1.0000299400399901,True,0.0,0.0,1.0,2.2203795687768504e-16,0.0099999999999
4,0.004,7.96008988020046e-10,0.0,7.96008988020046e-10,0.0,0.0,1.0000399000999503,1.0000399000999503,True,0.0,0.0,1.0,2.2203574545455943e-16,0.009999999999900007
5,0.005,1.2425212125557002e-09,0.0,1.2425212125557002e-09,0.0,0.0,1.0000498501998503,1.0000498501998503,True,0.0,0.0,1.0,0.0,0.009999999999900004
6,0.006,1.7874429556599621e-09,0.0,1.7874429556599621e-09,0.0,0.0,1.0000597903496504,1.0000597903496504,True,0.0,0.0,1.0,4.440626587443667e-16,0.009999999999900002
7,0.007,2.4304781946059324e-09,0.0,2.4304781946059324e-09,0.0,0.0,1.0000697205593008,1.0000697205593008,True,0.0,0.0,1.0,2.220291247082465e-16,0.009999999999900007
8,0.008,3.17133159773023e-09,0.0,3.17133159773023e-09,0.0,0.0,1.0000796408387416,1.0000796408387416,True,0.0,0.0,1.0,2.2202692229268971e-16,0.009999999999900006
9,0.009000000000000001,4.00970852292055e-09,0.0,4.00970852292055e-09,0.0,0.0,1.0000895511979029,1.0000895511979029,True,0.0,0.0,1.0,2.2202472212317642e-16,0.00999999999990001
10,0.010000000000000002,4.945315016167623e-09,0.0,4.945315016167623e-09,0.0,0.0,1.000099451646705,1.000099451646705,True,0.0,0.0,1.0,2.220225241973718e-16,0.009999999999900012
11,0.011000000000000003,5.977857810097456e-09,0.0,5.977857810097456e-09,0.0,0.0,1.0001093421950584,1.0001093421950584,True,0.0,0.0,1.0,0.0,0.00999999999990001
12,0.012000000000000004,7.107044322453079e-09,0.0,7.107044322453079e-09,0.0,0.0,1.0001192228528635,1.0001192228528635,True,0.0,0.0,1.0,4.4403627013512615e-16,0.009999999999900016
13,0.013000000000000005,8.332582654667083e-09,0.0,8.332582654667083e-09,0.0,0.0,1.0001290936300107,1.0001290936300107,True,0.0,0.0,1.0,2.220159438589023e-16,0.00999999999990001
14,0.014000000000000005,9.654181590370344e-09,0.0,9.654181590370344e-09,0.0,0.0,1.0001389545363806,1.0001389545363806,True,0.0,0.0,1.0,0.0,0.009999999999900014
15,0.015000000000000006,1.1071550593989205e-08,0.0,1.1071550593989205e-08,0.0,0.0,1.0001488055818442,1.0001488055818442,True,0.0,0.0,1.0,0.0,0.009999999999900014
16,0.016000000000000007,1.2584399809195172e-08,0.0,1.2584399809195172e-08,0.0,0.0,1.0001586467762622,1.0001586467762622,True,0.0,0.0,1.0,4.440187672600183e-16,0.009999999999900021
17,0.017000000000000008,1.4192440057542178e-08,0.0,1.4192440057542178e-08,0.0,0.0,1.000168478129486,1.000168478129486,True,0.0,0.0,1.0,0.0,0.009999999999900016
18,0.01800000000000001,1.5895382836907996e-08,0.0,1.5895382836907996e-08,0.0,0.0,1.0001782996513564,1.0001782996513564,True,0.0,0.0,1.0,2.2200502128513181e-16,0.00999999999990002
19,0.01900000000000001,1.7692940320149525e-08,0.0,1.7692940320149525e-08,0.0,0.0,1.000188111351705,1.000188111351705,True,0.0,0.0,1.0,2.220028434480651e-16,0.009999999999900021
20,0.02000000000000001,1.9584825353535985e-08,0.0,1.9584825353535985e-08,0.0,0.0,1.0001979132403531,1.0001979132403531,True,0.0,0.0,1.0,2.2200066783149958e-16,0.009999999999900021
21,0.02100000000000001,2.1570751455468136e-08,0.0,2.1570751455468136e-08,0.0,0.0,1.0002077053271126,1.0002077053271126,True,0.0,0.0,1.0,2.219984944331281e-16,0.009999999999900023
22,0.022000000000000013,2.3650432814914188e-08,0.0,2.3650432814914188e-08,0.0,0.0,1.0002174876217853,1.0002174876217853,True,0.0,0.0,1.0,2.2199632325064605e-16,0.00999999999990002
23,0.023000000000000013,2.582358428996022e-08,0.0,2.582358428996022e-08,0.0,0.0,1.0002272601341633,1.0002272601341633,True,0.0,0.0,1.0,4.43988308563503e-16,0.009999999999900018
24,0.024000000000000014,2.8089921406468427e-08,0.0,2.8089921406468427e-08,0.0,0.0,1.000237022874029,1.000237022874029,True,0.0,0.0,1.0,0.0,0.009999999999900025
