step,time,omega,kinetic,potential,entropy,gradient_norm,max_density,min_density,is_stable,gradient_energy,entropy_interaction,nature_health,gini_estimate,capital_concentration
1,0.001,8.296709657267222,0.0,8.296709657267222,0.0,0.0,91.70402886611745,0.001,True,0.0,0.0,0.0,3.332987906653668,0.07512,0.002,943.2287359988219,0.0,943.2287359988219,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.433467049261495,0.003972489000580131
3,0.003,2676.5047300313763,0.0,2676.5047300313763,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,0.9058084716617896,0.001825727167775382
4,0.004,2256.450800519121,0.0,2256.450800519121,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.07166796963777,0.0021601012733670835
5,0.005,2617.0995342329998,0.0,2617.0995342329998,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,0.934144792162462,0.0018726428342404006
6,0.006,2283.899466267,0.0,2283.899466267,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.070454840985563,0.0021458981564459727
7,0.007,2617.0995342329998,0.0,2617.0995342329998,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,0.934144792162462,0.0018726428342404006
8,0.008,2283.899466267,0.0,2283.899466267,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.070454840985563,0.0021458981564459727
9,0.009000000000000001,2617.0995342329998,0.0,2617.0995342329998,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,0.934144792162462,0.0018726428342404006
10,0.010000000000000002,2283.899466267,0.0,2283.899466267,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.070454840985563,0.0021458981564459727
11,0.011000000000000003,2617.0995342329998,0.0,2617.0995342329998,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,0.934144792162462,0.0018726428342404006
12,0.012000000000000004,2283.899466267,0.0,2283.899466267,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.070454840985563,0.0021458981564459727
13,0.013000000000000005,2617.0995342329998,0.0,2617.0995342329998,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,0.934144792162462,0.0018726428342404006
14,0.014000000000000005,2283.899466267,0.0,2283.899466267,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.070454840985563,0.0021458981564459727
15,0.015000000000000006,2617.0995342329998,0.0,2617.0995342329998,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,0.934144792162462,0.0018726428342404006
16,0.016000000000000007,2283.899466267,0.0,2283.899466267,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.070454840985563,0.0021458981564459727
17,0.017000000000000008,2617.0995342329998,0.0,2617.0995342329998,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,0.934144792162462,0.0018726428342404006
18,0.01800000000000001,2283.899466267,0.0,2283.899466267,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.070454840985563,0.0021458981564459727
19,0.01900000000000001,2617.0995342329998,0.0,2617.0995342329998,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,0.934144792162462,0.0018726428342404006
20,0.02000000000000001,2283.899466267,0.0,2283.899466267,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.070454840985563,0.0021458981564459727
21,0.02100000000000001,2617.0995342329998,0.0,2617.0995342329998,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,0.934144792162462,0.0018726428342404006
22,0.022000000000000013,2283.899466267,0.0,2283.899466267,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.070454840985563,0.0021458981564459727
23,0.023000000000000013,2617.0995342329998,0.0,2617.0995342329998,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,0.934144792162462,0.0018726428342404006
24,0.024000000000000014,2283.899466267,0.0,2283.899466267,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.070454840985563,0.0021458981564459727
25,0.025000000000000015,2617.0995342329998,0.0,2617.0995342329998,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,0.934144792162462,0.0018726428342404006
26,0.026000000000000016,2283.899466267,0.0,2283.899466267,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.070454840985563,0.0021458981564459727
27,0.027000000000000017,2617.0995342329998,0.0,2617.0995342329998,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,0.934144792162462,0.0018726428342404006
28,0.028000000000000018,2283.899466267,0.0,2283.899466267,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.070454840985563,0.0021458981564459727
29,0.02900000000000002,2617.0995342329998,0.0,2617.0995342329998,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,0.934144792162462,0.0018726428342404006
30,0.03000000000000002,2283.899466267,0.0,2283.899466267,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.070454840985563,0.0021458981564459727
31,0.03100000000000002,2617.0995342329998,0.0,2617.0995342329998,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,0.934144792162462,0.0018726428342404006
32,0.03200000000000002,2283.899466267,0.0,2283.899466267,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.070454840985563,0.0021458981564459727
33,0.03300000000000002,2617.0995342329998,0.0,2617.0995342329998,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,0.934144792162462,0.0018726428342404006
34,0.03400000000000002,2283.899466267,0.0,2283.899466267,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.070454840985563,0.0021458981564459727
35,0.035000000000000024,2617.0995342329998,0.0,2617.0995342329998,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,0.934144792162462,0.0018726428342404006
36,0.036000000000000025,2283.899466267,0.0,2283.899466267,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.070454840985563,0.0021458981564459727
37,0.037000000000000026,2617.0995342329998,0.0,2617.0995342329998,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,0.934144792162462,0.0018726428342404006
38,0.03800000000000003,2283.899466267,0.0,2283.899466267,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.070454840985563,0.0021458981564459727
39,0.03900000000000003,2617.0995342329998,0.0,2617.0995342329998,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,0.934144792162462,0.0018726428342404006
40,0.04000000000000003,2283.899466267,0.0,2283.899466267,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.070454840985563,0.0021458981564459727
41,0.04100000000000003,2617.0995342329998,0.0,2617.0995342329998,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,0.934144792162462,0.0018726428342404006
42,0.04200000000000003,2283.899466267,0.0,2283.899466267,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.070454840985563,0.0021458981564459727
43,0.04300000000000003,2617.0995342329998,0.0,2617.0995342329998,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,0.934144792162462,0.0018726428342404006
44,0.04400000000000003,2283.899466267,0.0,2283.899466267,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.070454840985563,0.0021458981564459727
45,0.04500000000000003,2617.0995342329998,0.0,2617.0995342329998,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,0.934144792162462,0.0018726428342404006
46,0.046000000000000034,2283.899466267,0.0,2283.899466267,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.070454840985563,0.0021458981564459727
47,0.047000000000000035,2617.0995342329998,0.0,2617.0995342329998,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,0.934144792162462,0.0018726428342404006
48,0.048000000000000036,2283.899466267,0.0,2283.899466267,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.070454840985563,0.0021458981564459727
49,0.04900000000000004,2617.0995342329998,0.0,2617.0995342329998,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,0.934144792162462,0.0018726428342404006
50,0.05000000000000004,2283.899466267,0.0,2283.899466267,0.0,0.0,100.0,0.001,True,0.0,0.0,0.0,1.070454840985563,0.0021458981564459727
